symbol,prediction_session,target_session,exclusion_reason
EMAMIREAL.NS,2024-12-16,2024-12-23,NOT_NEXT_SESSION(missed=4)
EMAMIREAL.NS,2024-12-23,2024-12-30,NOT_NEXT_SESSION(missed=3)
EMAMIREAL.NS,2024-12-30,2025-01-06,NOT_NEXT_SESSION(missed=4)
EMAMIREAL.NS,2025-01-06,2025-01-13,NOT_NEXT_SESSION(missed=4)
EMAMIREAL.NS,2025-01-13,2025-01-20,NOT_NEXT_SESSION(missed=4)
EMAMIREAL.NS,2025-01-20,2025-01-27,NOT_NEXT_SESSION(missed=4)
EMAMIREAL.NS,2025-01-27,2025-02-03,NOT_NEXT_SESSION(missed=5)
EMAMIREAL.NS,2025-02-03,2025-02-10,NOT_NEXT_SESSION(missed=4)
EMBDL.NS,2026-04-09,2026-04-13,NOT_NEXT_SESSION(missed=1)
EMBDL.NS,2026-04-13,2026-04-20,NOT_NEXT_SESSION(missed=3)
EMBDL.NS,2026-04-20,2026-04-27,NOT_NEXT_SESSION(missed=4)
EMBDL.NS,2026-04-27,2026-05-04,NOT_NEXT_SESSION(missed=3)
EMBDL.NS,2026-05-04,2026-05-06,NOT_NEXT_SESSION(missed=1)
ENERGYDEV.NS,2018-11-30,2019-01-09,NOT_NEXT_SESSION(missed=26)
ESSENTIA.NS,2019-04-15,2019-04-18,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-04-22,2019-05-10,NOT_NEXT_SESSION(missed=11)
ESSENTIA.NS,2019-05-14,2019-05-16,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-05-16,2019-05-20,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-05-27,2019-05-29,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-06-04,2019-06-07,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-06-12,2019-06-27,NOT_NEXT_SESSION(missed=10)
ESSENTIA.NS,2019-06-27,2019-07-01,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-07-02,2019-07-08,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2019-07-17,2019-07-22,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2019-07-24,2019-07-29,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2019-08-06,2019-08-08,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-08-14,2019-08-19,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-08-28,2019-08-30,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-08-30,2019-09-04,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-09-04,2019-09-06,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-09-09,2019-09-13,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2019-09-19,2019-09-23,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-09-26,2019-09-30,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-09-30,2019-10-03,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-10-16,2019-10-22,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2019-10-22,2019-10-24,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-10-24,2019-10-31,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2019-11-11,2019-11-18,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2019-11-28,2019-12-02,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2019-12-04,2019-12-06,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-02-10,2020-02-12,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-02-18,2020-02-20,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-02-20,2020-02-25,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-02-26,2020-03-02,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2020-03-04,2020-03-09,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2020-03-12,2020-03-16,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-03-16,2020-03-18,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-03-19,2020-03-23,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-03-24,2020-03-26,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-03-26,2020-03-31,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2020-04-01,2020-04-07,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-04-09,2020-04-15,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-04-20,2020-04-22,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-04-27,2020-04-29,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-04-29,2020-05-04,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-05-04,2020-05-07,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2020-05-07,2020-05-28,NOT_NEXT_SESSION(missed=13)
ESSENTIA.NS,2020-05-28,2020-06-01,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-06-01,2020-06-09,NOT_NEXT_SESSION(missed=5)
ESSENTIA.NS,2020-06-11,2020-06-22,NOT_NEXT_SESSION(missed=6)
ESSENTIA.NS,2020-06-23,2020-06-26,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2020-08-27,2020-08-31,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-08-31,2020-09-11,NOT_NEXT_SESSION(missed=8)
ESSENTIA.NS,2020-09-11,2020-09-17,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2020-09-17,2020-10-14,NOT_NEXT_SESSION(missed=17)
ESSENTIA.NS,2020-10-14,2020-10-16,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2020-10-20,2020-10-23,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2020-11-09,2020-11-13,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-03-24,2021-03-30,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2021-03-30,2021-04-05,NOT_NEXT_SESSION(missed=2)
ESSENTIA.NS,2021-04-05,2021-04-12,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-04-12,2021-04-19,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-04-19,2021-04-26,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-04-26,2021-05-03,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-05-03,2021-05-10,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-05-10,2021-05-17,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-05-17,2021-05-24,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-05-24,2021-05-31,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-05-31,2021-06-07,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-06-07,2021-06-14,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-06-14,2021-06-21,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-06-21,2021-07-05,NOT_NEXT_SESSION(missed=9)
ESSENTIA.NS,2021-07-05,2021-07-12,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-07-12,2021-07-14,NOT_NEXT_SESSION(missed=1)
ESSENTIA.NS,2021-07-19,2021-07-26,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-07-26,2021-08-02,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-08-02,2021-08-09,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-08-09,2021-08-16,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-08-16,2021-08-23,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-08-23,2021-08-30,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-08-30,2021-09-06,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-09-06,2021-09-13,NOT_NEXT_SESSION(missed=3)
ESSENTIA.NS,2021-09-13,2021-09-20,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-09-20,2021-09-27,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-09-27,2021-10-04,NOT_NEXT_SESSION(missed=4)
ESSENTIA.NS,2021-10-04,2021-10-11,NOT_NEXT_SESSION(missed=4)
